service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Artifact Registry,Artifact Registry Storage,100.0,global,149C-F9EC-3994,8502-299A-ABAF,9.95,
Cloud Run (ML Model) (Cloud Run),CPU Allocation Time (tier 2),37500000,global,152E-C115-5142,085C-A237-027A,1.26,
Cloud Run (ML Model) (Cloud Run),Memory Allocation Time (tier 2),76500000,global,152E-C115-5142,600C-3782-6708,0.26775,
Cloud Run (ML Model) (Cloud Run),Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,3.2,
Cloud Run 2 (Backend API) (Cloud Run),CPU Allocation Time (tier 2),37500000,global,152E-C115-5142,085C-A237-027A,1.26,
Cloud Run 2 (Backend API) (Cloud Run),Memory Allocation Time (tier 2),37500000,global,152E-C115-5142,600C-3782-6708,0.13125,
Cloud Run 2 (Backend API) (Cloud Run),Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,3.2,
Firestore,Cloud Firestore Read Ops,1520833.3333333335,us-east1,F17B-412E-CB64,FF6D-2156-62C2,0,
Firestore,Cloud Firestore Entity Writes,1520833.3333333335,us-east1,F17B-412E-CB64,4BFF-324E-4B50,1.6425,
Firestore,Cloud Firestore Entity Deletes,0.0,us-east1,F17B-412E-CB64,E2D4-11D8-16C0,0,
Firestore,Cloud Firestore Storage,50.0,us-east1,F17B-412E-CB64,5C80-18C6-21C5,8.82,
Cloud Storage,Standard Storage Jakarta,100.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,2.3,
,,,,,,,
,,,,,Total Price:,32.0315,
,,,,,,,
"Prices are in US dollars, effective date is 2024-12-13T05:39:27.513Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJsWXpOaVpEbGtaaTAzTURZM0xUUXlNRGt0WWpabVppMDRNMk5sTjJGbU1USmxNeklRQVE9PRokN0I1MTNBQjMtQjY3RS00Qjc5LTlGRjYtMzlEODk5Q0E5MUFD,,,,,,